dt_notificacao,acumulado_mortes
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,2
2020-04-03,5
2020-04-04,6
2020-04-05,6
2020-04-06,6
2020-04-07,6
2020-04-08,6
2020-04-09,7
2020-04-10,8
2020-04-11,9
2020-04-12,14
2020-04-13,17
2020-04-14,18
2020-04-15,21
2020-04-16,28
2020-04-17,28
2020-04-18,30
2020-04-19,34
2020-04-20,34
2020-04-21,34
2020-04-22,37
2020-04-23,43
2020-04-24,47
2020-04-25,52
2020-04-26,57
2020-04-27,63
2020-04-28,77
2020-04-29,84
2020-04-30,93
2020-05-01,101
2020-05-02,104
2020-05-03,115
2020-05-04,123
2020-05-05,133
2020-05-06,146
2020-05-07,157
2020-05-08,165
2020-05-09,172
2020-05-10,181
2020-05-11,196
2020-05-12,212
2020-05-13,233
2020-05-14,249
2020-05-15,260
2020-05-16,271
2020-05-17,285
2020-05-18,302
2020-05-19,325
