"","dt_notificacao","acumulado_confirmados"
"1","2020-03-17",3
"2","2020-03-18",3
"3","2020-03-19",4
"4","2020-03-20",7
"5","2020-03-21",11
"6","2020-03-22",11
"7","2020-03-23",17
"8","2020-03-24",21
"9","2020-03-25",23
"10","2020-03-26",23
"11","2020-03-27",25
"12","2020-03-28",25
"13","2020-03-29",34
"14","2020-03-30",41
"15","2020-03-31",42
"16","2020-04-01",43
"17","2020-04-02",45
"18","2020-04-03",46
"19","2020-04-04",46
"20","2020-04-05",48
"21","2020-04-06",50
"22","2020-04-07",50
"23","2020-04-08",58
"24","2020-04-09",62
"25","2020-04-10",70
"26","2020-04-11",72
"27","2020-04-12",77
"28","2020-04-13",90
"29","2020-04-14",99
"30","2020-04-15",101
"31","2020-04-16",115
"32","2020-04-17",135
"33","2020-04-18",142
"34","2020-04-19",163
"35","2020-04-20",176
"36","2020-04-21",195
"37","2020-04-22",214
"38","2020-04-23",227
"39","2020-04-24",234
"40","2020-04-25",258
"41","2020-04-26",279
"42","2020-04-27",301
"43","2020-04-28",317
"44","2020-04-29",354
"45","2020-04-30",404
"46","2020-05-01",487
"47","2020-05-02",553
"48","2020-05-03",658
"49","2020-05-04",733
"50","2020-05-05",817
"51","2020-05-06",943
"52","2020-05-07",1014
"53","2020-05-08",1177
"54","2020-05-09",1335
"55","2020-05-10",1447
"56","2020-05-11",1460
"57","2020-05-12",1590
"58","2020-05-13",1694
"59","2020-05-14",1740
"60","2020-05-15",1785
"61","2020-05-16",1867
"62","2020-05-17",1996
"63","2020-05-18",2234
"64","2020-05-19",2482
"65","2020-05-20",2817
"66","2020-05-21",3103
"67","2020-05-22",3343
"68","2020-05-23",3867
"69","2020-05-24",4160
"70","2020-05-25",4501
"71","2020-05-26",4781
"72","2020-05-27",5251
"73","2020-05-28",5600
"74","2020-05-29",5841
"75","2020-05-30",6072
"76","2020-05-31",6219
"77","2020-06-01",6326
"78","2020-06-02",6465
"79","2020-06-03",6679
"80","2020-06-04",7021
"81","2020-06-05",7284
"82","2020-06-06",7525
"83","2020-06-07",7983
"84","2020-06-08",8127
"85","2020-06-09",8457
"86","2020-06-10",8746
"87","2020-06-11",9091
"88","2020-06-12",9295
"89","2020-06-13",9534
"90","2020-06-14",9642
"91","2020-06-15",9771
"92","2020-06-16",10003
"93","2020-06-17",10339
"94","2020-06-18",10664
"95","2020-06-19",10987
"96","2020-06-20",11263
"97","2020-06-21",11381
"98","2020-06-22",11539
"99","2020-06-23",11810
"100","2020-06-24",12022
"101","2020-06-25",12304
"102","2020-06-26",12644
